constituency	name	party
Rhondda East	David Watts-Morgan	Labour
Rhondda West	William John	Labour
Richmond 	Murrough Wilson	Unionist
Richmond upon Thames	Sir Newton Moore	Unionist
Ripon	Rt Hon. Edward Wood	Unionist
Rochdale	William Kelly	Labour
Romford	Hon. Charles Rhys	Unionist
Ross and Cromarty	Rt Hon. Ian Macpherson	Liberal
Rossendale	Robert Waddington	Unionist
Rotherham	Fred Lindley	Labour
Rotherhithe	Ben Smith	Labour
Rother Valley	Thomas Walter Grundy	Labour
Rothwell	William Lunn	Labour
Roxburgh and Selkirk	The Earl of Dalkeith	Unionist
Royton	Arthur Davies	Unionist
Rugby	David Margesson	Unionist
Rushcliffe	Henry Betterton	Unionist
Rutland and Stamford	Neville Smith-Carington	Unionist
Rutherglen	William Wright	Labour
Rye	George Courthope	Unionist
Saffron Walden	William Foot Mitchell	Unionist
St Albans	Francis Fremantle	Unionist
St Helens	James Sexton	Labour
St Ives	Anthony Hawke	Unionist
St Marylebone	Rt Hon. Sir Douglas Hogg	Unionist
St Pancras North	Ian Fraser	Unionist
St Pancras South East	John Hopkins	Unionist
St Pancras South West	Richard Barnett	Unionist
Salford North	Samuel Finburgh	Unionist
Salford South	Edmund Ashworth Radford	Unionist
Salford West	Fred Astbury	Unionist
Salisbury	Hugh Morrison	Unionist
Scarborough and Whitby	Sidney Herbert	Unionist
Seaham	Rt Hon. Sidney Webb	Labour
Sedgefield	Leonard Ropner	Unionist
Sevenoaks	Walter Styles	Unionist
Sheffield Attercliffe	Cecil Wilson	Labour
Sheffield, Brightside	Arthur Ponsonby	Labour
Sheffield, Central	Rt Hon. James Hope	Unionist
Sheffield, Ecclesall	Albert Harland	Unionist
Sheffield, Hallam	Sir Frederick Sykes	Unionist
Sheffield, Hillsborough	A. V. Alexander	Co-operative
Sheffield, Park	Richard Storry Deans	Unionist
Shipley	William Mackinder	Labour
Shoreditch	Ernest Thurtle	Labour
Shrewsbury	Viscount Sandon	Unionist
Skipton	Ernest Bird	Unionist
Smethwick	John Davison	Labour
Southampton 	Lord Apsley	Unionist
Southampton 	Edwin Perkins	Unionist
Southend-on-Sea	Viscount Elveden	Unionist
South Molton	Cedric Drewe	Unionist
Southport	Godfrey White	Unionist
South Shields	Edward Harney	Liberal
Southwark Central	Harry Day	Labour
Southwark North	Leslie Haden-Guest	Labour
Southwark South East	Thomas Naylor	Labour
Sowerby	Geoffrey Shaw	Unionist
Spelthorne	Philip Pilditch	Unionist
Spennymoor	Joseph Batey	Labour
Spen Valley	Rt Hon. Sir John Simon	Liberal
Stafford	Hon. William Ormsby-Gore	Unionist
Stalybridge and Hyde	Edmund Wood	Unionist
Stepney Limehouse	Clement Attlee	Labour
Stepney Mile End	John Scurr	Labour
Stirling and Falkirk Burghs	Hugh Murnin	Labour
Stirlingshire East and Clackmannan	MacNeill Weir	Labour
Stirlingshire West	Guy Fanshawe	Unionist
Stockport 	William Greenwood	Unionist
Stockport 	Samuel Hammersley	Unionist
Stockton on Tees	Harold Macmillan	Unionist
Stoke Newington	George Jones	Unionist
Stoke-on-Trent	John Ward	Constitutionalist
Stone	Joseph Lamb	Unionist
Stourbridge	Douglas Pielou	Unionist
Streatham	Sir William Lane-Mitchell	Unionist
Stretford	Sir Thomas Robinson	Constitutionalist
Stroud	Sir Frank Nelson	Unionist
Sudbury	Rt Hon. Henry Burton	Unionist
Sunderland 	Luke Thompson	Unionist
Sunderland 	Walter Raine	Unionist
Surrey East	James Galbraith	Unionist
Swansea East	David Williams	Labour
Swansea West	Rt Hon. Walter Runciman	Liberal
Swindon	Reginald Banks	Unionist
Tamworth	Sir Edward Iliffe	Unionist
Taunton	Andrew Gault	Unionist
Tavistock	Philip Kenyon-Slaney	Unionist
Thirsk and Malton	Edmund Turton	Unionist
Thornbury	Derrick Gunston	Unionist
Tiverton	Gilbert Acland-Troyte	Unionist
Tonbridge	Herbert Spender-Clay	Unionist
Torquay	Charles Williams	Unionist
Totnes	Samuel Harvey	Unionist
Tottenham North	Robert Morrison	Co-operative
Tottenham South	Patrick Malone	Unionist
Twickenham	Rt Hon. Sir William Joynson-Hicks, Bt	Unionist
Tynemouth	Alexander Russell	Unionist
University of Wales	Ernest Evans	Liberal
Uxbridge	Dennistoun Burney	Unionist
Wakefield	Robert Ellis	Unionist
Wallasey	Sir Robert Burton-Chadwick	Unionist
Wallsend	Sir Patrick Hastings	Labour
Walsall	William Preston	Unionist
Walthamstow East	Rt Hon. Sir Hamar Greenwood, Bt	Constitutionalist
Walthamstow West	Horace Crawfurd	Liberal
Wandsworth Central	Henry Jackson	Unionist
Wansbeck	George Warne	Labour
Warrington	Alec Cunningham-Reid	Unionist
Warwick and Leamington	Anthony Eden	Unionist
Watford	Dennis Herbert	Unionist
Waterloo	Malcolm Bullock	Unionist
Wednesbury	Alfred Short	Labour
Wellingborough	William Cove	Labour
Wells	Sir Robert Sanders	Unionist
Wentworth	George Harry Hirst	Labour
West Bromwich	Rt Hon. Frederick Roberts	Labour
Westbury	Walter Shaw	Unionist
Western Isles	Alexander Livingstone	Liberal
West Ham Plaistow	Will Thorne	Labour
West Ham Silvertown	Jack Jones	Labour
West Ham Stratford	Thomas Groves	Labour
West Ham Upton	Herbert Paton Holt	Unionist
Westhoughton	Rhys Davies	Labour
Westminster Abbey	Otho Nicholson	Unionist
Westminster St George's	James Erskine	Unionist
Westmorland	Hon. Oliver Stanley	Unionist
Weston-super-Mare	John Erskine	Unionist
Whitechapel	Harry Gosling	Labour
Whitehaven	Robert Hudson	Unionist
Widnes	Christopher Clayton	Unionist
Wigan	John Parkinson	Labour
Willesden East	Hon. George Stanley	Unionist
Willesden West	Samuel Viant	Labour
Wimbledon	Sir John Power, Bt	Unionist
Winchester	George Hennessy	Unionist
Windsor	Annesley Somerville	Unionist
Wirral	John Grace	Unionist
Wolverhampton Bilston	John Baker	Labour
Wolverhampton East	George Thorne	Liberal
Wolverhampton West	Robert Bird	Unionist
Woodbridge	Sir Arthur Churchman, Bt	Unionist
Wood Green	Godfrey Locker-Lampson	Unionist
Woolwich East	Harry Snell	Labour
Woolwich West	Sir Kingsley Wood	Unionist
Worcester	Crawford Greene	Unionist
Workington	Tom Cape	Labour
The Wrekin	Thomas Oakley	Unionist
Wrexham	Christmas Price Williams	Liberal
Wycombe	Sir Alfred Knox	Unionist
Yeovil	George Davies	Unionist
York	Sir John Marriott	Unionist
